1024 15.0259 1080184666 829696 4.52542 135680113 1579208
1040 7.2886 1303155789 13478869	4.72132 142613546	1634305
1056 8.6704 1272393984 7221602 4.93076 149893282 1716252
1072 8.10492 1426767107 14326704	5.1462 157511469	1788765
1088 10.1967 1341465382 4141735 5.37214 165450259 1924192
1104 9.0672 1558969039 15222515	5.59768 173629584	1961650
1120 10.9443 1520520677 8191511 5.83112 182271398 2080684
1136 10.1009 1699246604 16137201	6.07124 191208547	2177260
1152 13.2382 1566250720 2757397 6.32398 200159991 2259905
1168 10.7838 1846973632 17066710	6.56914 210105523	2419419
1184 12.659 1797372338 9170095 6.82722 220165457 2573246
1200 12.1806 2001093676 18006987	7.09364 230543343	2687479
1216 14.5832 1887991414 6445997 7.36502 241387492 2948011
1232 13.1056 2178319446 19702543	7.6424 252439649	2982747
1248 15.1313 2129302293 11493110 7.9355 264172205 3195730
1264 14.6237 2356470871 20923362	8.23542 276144296	3349697
1280 21.0158 2167583032 4163999 8.5547 288358146 3549474
1296 15.9582 2540490717 22112847	8.85976 301622038	3738902
