5072 86430792	5400046	61101811	5400046
5136 88674615	5534364	62702150	5534364
5200 90848690	5670785	64224642	5670785
5264 93163662	5839559	65879994	5839559
5328 95651366	5989491	67704991	5989491
5392 97908218	6131090	69286093	6131090
5456 100192217	6274706	70886328	6274706
5520 102502953	6420076	72505074	6420076
5584 104927860	6566580	74230083	6566580
5648 107291417	6714864	75885649	6714864
